text,url,similarity_score
Chest X-Ray Made Easy,https://images.secondsale.com/images/120x160/435d16f1099cd9d716518dc120f098d4.jpg,0.434172660112381
"Modern Concepts in Breast Augmentation Multiplane Aesthetic Reconstruction di Stan, Biggs",https://www.libreriatestiuniversitari.it/16903-home_default/modern-concepts-in-breast-augmentation-multiplane-aesthetic-reconstruction-di-stan-biggs.jpg,0.37806975841522217
Minimal Requirements for Pediatric Cancer Units (PCU) in Developing Countries,https://thumbs.slideserve.com/1_3352804.jpg,0.3849823474884033
Center for Asbestos Related Disease (CARD) Is Now Open with Facility Safety Upgrades,https://olympus.hdnweb.com/wp-content/uploads/2021/03/64226_1_44369.jpg,0.37892815470695496
a70cb11cde34f31ed441_best_0561084369a04d5595a2_Center_for_Hope_Hospice_logo.jpg,https://uploads.thealternativepress.com/uploads/photos/best_crop_a70cb11cde34f31ed441_best_0561084369a04d5595a2_Center_for_Hope_Hospice_logo@2x.jpg?v=ffb2ccc5c55abb41ef62,0.37605202198028564
Eicosanoids and Other Bioactive Lipids in Cancer and Radiation Injury - K.V. Honn; Lawrence J. Marnett; Santosh K. Nigam; Thomas L. Walden  Jr.,https://images.eurolivre.fr/buch/cover/OTc4MDc5MjMxMzAzODtodHRwOi8vd3d3LmxlaG1hbm5zLmRlL21lZGlhLzEzMzIxODI0.,0.38404160737991333
img - for Interactive Hand - 2000 - Radiology Edition book / textbook / text book,http://ecx.images-amazon.com/images/I/51SMETZPZTL._SL160_.jpg,0.3861989676952362
Heroes Become Angels Granddaughter Lung Cancer Card,http://rlv.zcache.co.uk/heroes_become_angels_granddaughter_lung_cancer_card-rb78e8be269874964afea39c2184b0bdf_xvuak_8byvr_216.jpg,0.38531798124313354
"Principles and Practice of Lung Cancer: The Official Reference Text of the International Association for the Study of Lung Cancer (IASLC) (Pass, Lung Cancer)",https://img.valorebooks.com/FULL/97/9780/978078/9780781773652.jpg,0.4209967255592346
"Professional radiologist checking a patient's radiography, white background",https://us.123rf.com/450wm/stokkete/stokkete1906/stokkete190600008/124477543-professional-radiologist-checking-a-patient-s-radiography-white-background.jpg?ver=6,0.3920665383338928
29th Annual Advances in Vascular Imaging & Diagnosis,https://www.cmelist.com/wp-content/uploads/2019/03/avid.jpg,0.41042643785476685
"From Imaging to Pathology : How to assess Benignity in Rare Ovarian Tumors?  Corinne Balleyguier, Radiology  Pierre Duvill...",https://image.slidesharecdn.com/urology-gynecology-anapath-et-imagerie-c-balleyguier-min-131129102948-phpapp02/95/urology-gynecology-anapath-et-imagerie-c-balleyguier-1-638.jpg?cb=1385722129,0.41791146993637085
brain-coloed-sections-PWD3VK6,http://nhna2.nhna.edu.my/wp-content/uploads/2017/12/brain-coloed-sections-PWD3VK6-250x230.jpg,0.3827906548976898
An Empowering Guide to Lung Cancer: Six Steps to Taking Charge of Your Care and Your Life,https://images-na.ssl-images-amazon.com/images/I/41v6Jvg12XL._AA218_.jpg,0.40412598848342896
"aha,art,balloon,brainstorm,bubble,burst,card,concept,craft,create,creative,discovery,doodle,expertise,icon",https://thumb9.shutterstock.com/image-photo/redirected-150nw-92609872.jpg,0.3971903920173645
